fid,Name,GPR_sum
"1",kml_1315,"0.3"
"2",kml_1319,"0.2"
"3",kml_1321,"0.2"
"4",kml_1387,"0.2"
"5",kml_1401,"0.2"
"6",kml_1487,"0.2"
"7",kml_1495,"0.228571429"
"8",kml_1610,"0.228571429"
"9",kml_1611,"0.2"
"10",kml_1652,"0"
"11",kml_1657,"0.228571429"
"12",kml_1687,"0.2"
"13",kml_1748,"0.2"
"14",kml_1758,"0.228571429"
"15",kml_1864,"0.2"
"16",kml_1867,"0.2"
"17",kml_1868,"0.228571429"
"18",kml_1874,"0.2"
"19",kml_1875,"0.2"
"20",kml_1884,"0.2"
"21",kml_1890,"0.2"
"22",kml_1908,"0.228571429"
"23",kml_1909,"0.157142857"
"24",kml_2078,"0.228571429"
"25",kml_2079,"0.2"
"26",kml_2112,"0.2"
"27",kml_2118,"0.2"
"28",kml_2237,"0.2"
"29",kml_2268,"0.2"
"30",kml_2301,"0.2"
"31",kml_2309,"0.2"
"32",kml_2312,"0.2"
"33",kml_2320,"0.2"
"34",kml_2322,"0.2"
"35",kml_2323,"0.242857143"
"36",kml_2365,"0.2"
"37",kml_2396,"0.228571429"
"38",kml_2427,"0.2"
"39",kml_2431,"0.2"
"40",kml_2441,"0.2"
"41",kml_2549,"0.228571429"
"42",kml_2553,"0.2"
"43",kml_2556,"0.2"
"44",kml_2560,"0.2"
"45",kml_2561,"0.4"
"46",kml_2578,"0.2"
"47",kml_2638,"0.2"
"48",kml_2718,"0.071428571"
"49",kml_2779,"0.071428571"
"50",kml_2784,"0.2"
"51",kml_2845,"0.2"
"52",kml_2865,"0.2"
"53",kml_2867,"0.2"
"54",kml_2890,"0.2"
"55",kml_2891,"0.2"
"56",kml_2892,"0.271428571"
"57",kml_2893,"0.2"
"58",kml_2911,"0.2"
"59",kml_2935,"0.2"
"60",kml_2989,"0.3"
"61",kml_2993,"0.2"
"62",kml_3140,"0.071428571"
"63",kml_3342,"0.2"
"64",kml_3344,"0.2"
"65",kml_3349,"0.2"
"66",kml_3357,"0.2"
"67",kml_3433,"0.228571429"
"68",kml_3439,"0.2"
"69",kml_3453,"0.2"
"70",kml_3456,"0.2"
"71",kml_3551,"0.157142857"
"72",kml_3553,"0.2"
"73",kml_3554,"0.2"
"74",kml_3555,"0.2"
"75",kml_3639,"0.228571429"
"76",kml_3640,"0.2"
"77",kml_3641,"0.2"
"78",kml_3644,"0.2"
"79",kml_3718,"0.228571429"
"80",kml_3810,"0.2"
"81",kml_3898,"0.2"
"82",kml_3899,"0.2"
"83",kml_3966,"0.2"
"84",kml_3985,"0.2"
"85",kml_4047,"0.2"
"86",kml_4048,"0.2"
"87",kml_4054,"0.2"
"88",kml_4167,"0.228571429"
"89",kml_4217,"0.2"
"90",kml_4224,"0.228571429"
"91",kml_4263,"0.2"
"92",kml_4264,"0.2"
"93",kml_4758,"0.2"
"94",kml_4760,"0.2"
"95",kml_4785,"0.2"
"96",kml_4801,"0.2"
"97",kml_4896,"0.2"
"98",kml_4932,"0.2"
"99",kml_4958,"0.3"
"100",kml_4959,"0.2"
"101",kml_5010,"0.228571429"
"102",kml_5055,"0.2"
"103",kml_5063,"0.2"
"104",kml_5157,"0.2"
"105",kml_5200,"0.2"
"106",kml_5258,"0.228571429"
"107",kml_5310,"0.2"
"108",kml_5312,"0.3"
"109",kml_5317,"0.228571429"
"110",kml_5365,"0"
"111",kml_5373,"0"
"112",kml_5426,"0.071428571"
"113",kml_5449,"0.2"
"114",kml_5452,"0.1"
"115",kml_5454,"0.071428571"
"116",kml_5455,"0.071428571"
"117",kml_5459,"0.071428571"
"118",kml_5460,"0"
"119",kml_5462,"0.1"
"120",kml_5467,"0.071428571"
"121",kml_5468,"0"
"122",kml_5471,"0"
"123",kml_5487,"0.2"
"124",kml_5491,"0.2"
"125",kml_5556,"0"
"126",kml_5574,"0.2"
"127",kml_5632,"0.228571429"
"128",kml_5664,"0.2"
"129",kml_5698,"0.2"
"130",kml_5706,"0.2"
"131",kml_5723,"0.2"
"132",kml_5746,"0.3"
"133",kml_5749,"0.2"
"134",kml_5756,"0.2"
"135",kml_5781,"0.2"
"136",kml_5788,"0.2"
"137",kml_5889,"0.2"
"138",kml_5932,"0.2"
"139",kml_5963,"0.2"
"140",kml_5964,"0.2"
"141",kml_6001,"0.2"
"142",kml_6090,"0.2"
"143",kml_6103,"0.2"
"144",kml_6104,"0.2"
"145",kml_6119,"0.2"
"146",kml_6248,"0"
"147",kml_6267,"0.2"
"148",kml_6276,"0.1"
"149",kml_6277,"0.157142857"
"150",kml_6346,"0.2"
"151",kml_6409,"0.2"
"152",kml_6556,"0.228571429"
"153",kml_6714,"0.2"
"154",kml_7472,"0.1"
"155",kml_7788,"0.2"
"156",kml_7869,"0.3"
"157",kml_7903,"0.1"
"158",kml_7909,"0.2"
"159",kml_7910,"0.2"
"160",kml_8016,"0.228571429"
"161",kml_8088,"0.1"
"162",kml_8095,"0.5"
"163",kml_8170,"0"
"164",kml_8211,"0"
"165",kml_8218,"0.371428571"
"166",kml_8229,"0"
"167",kml_8311,"0.2"
"168",kml_8335,"0.3"
"169",kml_8354,"0.1"
"170",kml_8427,"0"
"171",kml_8511,"0"
"172",kml_8546,"0.528571429"
"173",kml_8580,"0.257142857"
"174",kml_8674,"0.328571429"
"175",kml_8678,"0"
"176",kml_8740,"0.3"
"177",kml_8754,"0.457142857"
"178",kml_8777,"0.2"
"179",kml_8800,"0.2"
"180",kml_8898,"0"
"181",kml_8955,"0"
"182",kml_8996,"0.271428571"
"183",kml_9046,"0"
"184",kml_9079,"0.2"
"185",kml_9257,"0.2"
"186",kml_9263,"0.2"
"187",kml_9302,"0.2"
"188",kml_9303,"0.457142857"
"189",kml_9325,"0.4"
"190",kml_9368,"0.4"
"191",kml_9383,"0"
"192",kml_9391,"0.2"
"193",kml_9568,"0.3"
"194",kml_9569,"0.2"
"195",kml_9587,"0.4"
"196",kml_9598,"0.4"
"197",kml_9641,"0.2"
"198",kml_9685,"0.128571429"
"199",kml_9736,"0.2"
"200",kml_9763,"0.128571429"
"201",kml_9822,"0.2"
"202",kml_9827,"0.2"
"203",kml_9931,"0.2"
"204",kml_9934,"0.2"
"205",kml_9940,"0.2"
"206",kml_10034,"0.128571429"
"207",kml_10048,"0.157142857"
"208",kml_10055,"0.2"
"209",kml_10059,"0.2"
"210",kml_10250,"0.2"
"211",kml_10255,"0.2"
"212",kml_10260,"0.2"
"213",kml_10325,"0.2"
"214",kml_10341,"0.128571429"
"215",kml_10361,"0.128571429"
"216",kml_10442,"0.2"
"217",kml_10454,"0.2"
"218",kml_10464,"0.2"
"219",kml_10523,"0.028571429"
"220",kml_10538,"0.2"
"221",kml_10546,"0.2"
"222",kml_10652,"0.2"
"223",kml_10747,"0.085714286"
"224",kml_10754,"0.028571429"
"225",kml_10869,"0.2"
"226",kml_10870,"0.2"
"227",kml_10871,"0.2"
"228",kml_11041,"0.2"
"229",kml_11374,"0.2"
"230",kml_11902,"0.2"
"231",kml_11934,"0.2"
"232",kml_11977,"0"
"233",kml_11982,"0.228571429"
"234",kml_12079,"0.2"
"235",kml_12089,"0.2"
"236",kml_12272,"0.2"
"237",kml_12515,"0.857142857"
"238",kml_12517,"0.3"
"239",kml_12626,"0.2"
"240",kml_12980,"0.3"
"241",kml_13125,"0.2"
"242",kml_13132,"0.2"
"243",kml_13175,"0.1"
"244",kml_13267,"0.2"
"245",kml_13365,"0.157142857"
"246",kml_13366,"0.2"
"247",kml_13402,"0.2"
"248",kml_13455,"0.2"
"249",kml_13486,"0.2"
"250",kml_13550,"0.2"
"251",kml_13559,"0.2"
"252",kml_13641,"0.2"
"253",kml_13659,"0"
"254",kml_13718,"0.2"
"255",kml_13794,"0.2"
"256",kml_13873,"0.2"
"257",kml_13954,"0.2"
"258",kml_13994,"0.2"
"259",kml_14144,"0.2"
"260",kml_14145,"0.2"
"261",kml_14176,"0.2"
"262",kml_14182,"0"
"263",kml_14209,"0.2"
"264",kml_14234,"0.2"
"265",kml_14331,"0.2"
"266",kml_14367,"0.1"
"267",kml_14368,"0.2"
"268",kml_14434,"0.2"
"269",kml_14540,"0.2"
"270",kml_14623,"0"
"271",kml_14758,"0.2"
"272",kml_14770,"0.2"
"273",kml_14771,"0.2"
"274",kml_14773,"0.2"
"275",kml_14852,"0.2"
"276",kml_14932,"0.2"
"277",kml_14959,"0.1"
"278",kml_15250,"0.2"
"279",kml_15274,"0"
"280",kml_15309,"0.2"
"281",kml_15312,"0.2"
"282",kml_15314,"0.2"
"283",kml_15317,"0.157142857"
"284",kml_15368,"0"
"285",kml_15551,"0.2"
"286",kml_15608,"0.157142857"
"287",kml_15644,"0.028571429"
"288",kml_15746,"0"
"289",kml_15766,"0.028571429"
"290",kml_15815,"0.2"
"291",kml_15829,"0.2"
"292",kml_16093,"0.028571429"
"293",kml_16196,"0"
"294",kml_17049,"0.1"
"295",kml_17586,"0.228571429"
